⁉️|!?|?|знак|клічнік з пытальнікам|пунктуацыя|пытальнік
ℹ️|даведка|інфармацыя|крыніца інфармацыі
↔️|падвоеная|стрэлка ўлева-ўправа
↕️|падвоеная|стрэлка ўверх-уніз
↖️|кірунак|паўночны захад|стрэлка ўверх-улева|уверх-улева
↗️|кірунак|паўночны ўсход|стрэлка ўверх-управа|уверх-управа
↘️|кірунак|паўднёвы ўсход|стрэлка ўніз-управа|уніз-управа
↙️|кірунак|паўднёвы захад|стрэлка ўніз-улева|уніз-улева
⌨️|камп’ютар|клавішы|клавіятура|перыферыя
☀️|космас|надвор’е|промні|сонца
☁️|воблака|надвор’е|неба|пахмурна
☂️|аксесуар|дождж|надвор’е|парасон
☃️|снегавая баба|снегавік|снегавы балван|холад
☄️|камета|космас
☑️|адзнака|квадрат з птушкай|клетка|птушка
☔|аксесуар|дождж|кропля|надвор’е|парасон з кроплямі дажджу
☕|гарачы|гарбата|кава|напой|чай
☘️|расліна|трыліснік
☠️|косці|монстр|пірат|смерць|чэрап і косці
☢️|знак|небяспека|радыеактыўны|радыяцыя
☣️|біялагічная небяспека|біялагічны|знак|небяспека
☦️|крыж|праваслаўе|праваслаўны крыж|рэлігія|хрысціянства
☸️|будызм|дхарма|кола дхармы|рэлігія
☹️|засмучаны твар|засмучэнне|нахмураны
♈|авен|задыяк|знак задыяка авен
♉|бык|задыяк|знак задыяка цялец|цялец
♐|задыяк|знак задыяка стралец|стралец
♑|задыяк|знак задыяка казярог|казёл|казярог
♒|вадаліў|задыяк|знак задыяка вадалей
♓|задыяк|знак задыяка рыбы|рыба|рыбы
♠️|азарт|віны|гульня|карты|масць|пікі
♣️|гульня|карта|трэфы|хрэсці
♥️|гульня|карты|чырвы
♦️|гульня|звонкі|карты
♨️|гарачыя крыніцы|крыніцы|пара
⚒️|інструмент|кірка|малаток і кірка|шахта
⚓|інструмент|карабель|якар
⚔️|зброя|мячы|скрыжаваныя
⚖️|задыяк|шалі
⚗️|алхімія|інструмент|пасудзіна|перагонны куб|хімія
